"SEASON","TEAM_CONF","OPP_CONF","EXPECTED","UPSET","TOTAL","PERCENT"
"2014","Missouri Valley","Western Athletic",7,0,7,0
"2014","Mountain West","Big Sky",11,2,13,0.153846153846154
"2014","Mountain West","Big West",11,5,16,0.3125
"2014","Mountain West","Pac 12",13,0,13,0
"2014","Mountain West","Southeastern",6,0,6,0
"2014","Mountain West","Summit League",5,1,6,0.166666666666667
"2014","Mountain West","SWAC",4,1,5,0.2
"2014","Mountain West","West Coast",8,5,13,0.384615384615385
"2014","Mountain West","Western Athletic",5,3,8,0.375
"2014","Northeast","America East",10,3,13,0.230769230769231
"2014","Northeast","Atlantic 10",7,2,9,0.222222222222222
"2014","Northeast","Atlantic Sun",3,2,5,0.4
"2014","Northeast","Big South",5,0,5,0
"2014","Northeast","Big Ten",8,1,9,0.111111111111111
"2014","Northeast","Colonial Athletic",6,2,8,0.25
"2014","Northeast","Horizon League",5,0,5,0
"2014","Northeast","Ivy League",11,2,13,0.153846153846154
"2014","Northeast","MAAC",6,2,8,0.25
"2014","Northeast","MEAC",5,3,8,0.375
"2014","Northeast","Patriot League",14,5,19,0.263157894736842
"2014","Ohio Valley","Atlantic 10",6,0,6,0
"2014","Ohio Valley","Atlantic Sun",8,1,9,0.111111111111111
"2014","Ohio Valley","Big South",4,1,5,0.2
"2014","Ohio Valley","Conference USA",7,2,9,0.222222222222222
"2014","Ohio Valley","Horizon League",11,2,13,0.153846153846154
"2014","Ohio Valley","Mid-American",7,1,8,0.125
"2014","Ohio Valley","Missouri Valley",10,3,13,0.230769230769231
"2014","Ohio Valley","Southeastern",10,0,10,0
"2014","Ohio Valley","Southern",7,1,8,0.125
"2014","Ohio Valley","Southland",3,2,5,0.4
"2014","Ohio Valley","Summit League",10,1,11,0.0909090909090909
"2014","Ohio Valley","SWAC",4,2,6,0.333333333333333
"2014","Ohio Valley","Western Athletic",8,2,10,0.2
"2014","Pac 12","ACC",8,0,8,0
"2014","Pac 12","Atlantic 10",4,1,5,0.2
"2014","Pac 12","Big 12",6,0,6,0
"2014","Pac 12","Big East",8,1,9,0.111111111111111
